,user,tweet,retweet_count,reply_count,like_count,quote_count,followers,difference,seconds
0,doodles,RT @jholguin: I'll be speaking with @adage tomorrow in celebration of @doodles being selected for America's Hottest Brands list. Details be…,91.0,0.0,0.0,0.0,360206.0,"1 day, 13:58:48.892335",136728.892335
1,doodles,@timbo_eth @MrAdamHustle • ᴗ •,2.0,6.0,40.0,1.0,360206.0,"5 days, 14:47:32.908482",485252.908482
2,doodles,doodles 🤝 Shopify https://t.co/lDXkDglcBv,163.0,67.0,677.0,11.0,360206.0,"5 days, 15:02:22.918546",486142.918546
3,doodles,"RT @UUUUUUDDI: Congrats to @ParallelAiRev on getting the @doodles beast set (Dino+sharky). 
Welcome, my beast set bro. https://t.co/YSbGj3J…",77.0,0.0,0.0,0.0,360206.0,"6 days, 13:16:16.927440",566176.92744
4,doodles,RT @ansonvita: Does doodle follow doodle? #doodles #doodlesfollowdooles #goldchaindoodles #bucketdoodles https://t.co/Fqee894BUI,62.0,0.0,0.0,0.0,360206.0,"6 days, 13:21:14.935507",566474.935507
5,doodles,"RT @nftnow: Here's everything you need to know about the future of @doodles, the project that has won the hearts of countless NFT enthusias…",107.0,0.0,0.0,0.0,360206.0,"6 days, 23:10:51.942973",601851.942973
6,worldofwomennft,"RT @thefabricant: Metaverse wearables?!💥

For every @worldofwomennft #WoWFashion NFT that you mint after your first, you will receive the c…",42.0,0.0,0.0,0.0,206508.0,2:24:08.408227,8648.408227
7,worldofwomennft,"RT @thefabricant: Buckle up babes ~ the @worldofwomennft MINT IS ON! 🌈🚀

💥20 July 4pm CET - July 23rd 4pm CET💥

Thousands of stunning combo…",22.0,0.0,0.0,0.0,206508.0,3:00:59.423628,10859.423628
8,worldofwomennft,"RT @th3zone: Love this merch 💙
@worldofwomennft https://t.co/OqDVVNFDAZ",4.0,0.0,0.0,0.0,206508.0,3:03:52.434511,11032.434511
9,worldofwomennft,RT @mitoshi88: This is my WoW that I’ve named Ellie. I was drawn to her because I felt like in a way she embodies my personality. But it wa…,2.0,0.0,0.0,0.0,206508.0,3:09:29.443834,11369.443834
10,worldofwomennft,"Our protectors @mkimbs &amp; @noodz shared exclusive news: With some answers found in the WoW Blue Capacitor's contract, you will get to decide what and when to transform your own capacitor. 😯

The strategy, decision &amp; outcome(s) are up to you!⚡️🔮 https://t.co/wPtD2CqJpU",23.0,16.0,95.0,2.0,206508.0,3:14:35.452334,11675.452334
11,worldofwomennft,@sintrahq These are just the community meet-ups 😉 The team has done much more!,0.0,0.0,0.0,0.0,206508.0,4:04:36.459673,14676.459673
12,worldofwomennft,@Danielaah_92 Thank you for organising the UK meetup!,0.0,1.0,3.0,0.0,206508.0,4:04:49.466389,14689.466389
13,worldofwomennft,@poisoneyeve @NickGiles51496 You should make it happen! #WoWUtah,1.0,0.0,2.0,0.0,206508.0,4:05:13.472593,14713.472593
14,worldofwomennft,@mebynetta Perfect Discord name meby! 😂,0.0,0.0,1.0,0.0,206508.0,4:05:39.478429,14739.478429
15,worldofwomennft,"gm to everyone who loves IRL meet-ups ☀️

Here's a recap of all our #WoWMeetups so far! 🌎👇

https://t.co/Gbrh4jPqdW",15.0,17.0,98.0,1.0,206508.0,4:50:39.483771,17439.483771
16,BoredApeYC,RT @SaintBayview: Thanks again @bright_cut @machibigbrother &amp; @BoredApeYC I know have my dream watch!!! 🦍⌚️🔥 #NFT #BAYC #watches https://t.…,68.0,0.0,0.0,0.0,982332.0,4:44:59.473415,17099.473415
17,BoredApeYC,"RT @boredapebot: Ape #4066 was purchased for 180.0 ETH 
 https://t.co/8zNzpferc9 https://t.co/T7krQiAEaO",53.0,0.0,0.0,0.0,982332.0,4:45:08.489251,17108.489251
18,BoredApeYC,RT @rocsolmiami: Love the details with  @Grape_Ap3 &amp; @BoredApeYC https://t.co/f8qF5uUbUr,18.0,0.0,0.0,0.0,982332.0,4:45:11.500209,17111.500209
19,BoredApeYC,RT @demigodzx_eth: The disconnect. @BoredApeYC https://t.co/93VVa1Kf1l,10.0,0.0,0.0,0.0,982332.0,4:45:13.509466,17113.509466
20,BoredApeYC,RT @bigwyno: Just sitting with my Boreds #BAYC #SkateDecks #collection #skateboards https://t.co/7DAF8mL7ji,60.0,0.0,0.0,0.0,982332.0,16:52:22.517572,60742.517572
21,BoredApeYC,"RT @veratheape: I’m in love with Sand Chili the Ape! Thank you so much @fallinginsand for the amazing art.

#BAYC @BoredApeYC https://t.co/…",95.0,0.0,0.0,0.0,982332.0,16:52:25.524662,60745.524662
22,BoredApeYC,RT @DoctorD_NFT: Did a thing @BoredApeYC #MAYC ⛳️ https://t.co/7yer0NS4ak,16.0,0.0,0.0,0.0,982332.0,16:52:35.531267,60755.531267
23,BoredApeYC,RT @StonedAbu: Out in Tampa Bay @BoredApeYC https://t.co/rV9YLAIa1N,12.0,0.0,0.0,0.0,982332.0,16:52:37.537434,60757.537434
24,BoredApeYC,RT @cryptobeaver3: I’ve been rugged @Tokenrugs @BoredApeYC https://t.co/NAYvaxxCmS,32.0,0.0,0.0,0.0,982332.0,16:52:42.543299,60762.543299
